Java testing from CSV,select_one,Каким образом поток может войти в состояние waiting?,Вызвав свой метод sleep(),3
Java testing from CSV,select_one,Каким образом поток может войти в состояние waiting?,Вызвав метод wait объекта,3
Java testing from CSV,select_one,Каким образом поток может войти в состояние waiting?,Вызвав свой метод suspend,3
Java testing from CSV,select_one,Каким образом поток может войти в состояние waiting?,Любым из вышеперечисленных,10
Java testing from CSV,select_one,Какая информация используется для статической привязки?,тип,10
Java testing from CSV,select_one,Какая информация используется для статической привязки?,объект,0
Java testing from CSV,select_one,Какая информация используется для статической привязки?,Обе вышеперечисленные,0
Java testing from CSV,select_one,Какая информация используется для статической привязки?,Ни одна из вышеперечисленных,0
Java testing from CSV,select_one,Что из следующего является значением локальной переменной по умолчанию?,null,0
Java testing from CSV,select_one,Что из следующего является значением локальной переменной по умолчанию?,0,0
Java testing from CSV,select_one,Что из следующего является значением локальной переменной по умолчанию?,Зависит от типа переменной,0
Java testing from CSV,select_one,Что из следующего является значением локальной переменной по умолчанию?,Не назначено,10
Java testing from CSV,select_one,Что такое сериализация?,Сериализация — это процесс записи состояния объекта в другой объект,0
Java testing from CSV,select_one,Что такое сериализация?,Сериализация — это процесс записи состояния объекта в поток байтов,10
Java testing from CSV,select_one,Что такое сериализация?,Оба варианта правильные,0
Java testing from CSV,select_one,Что такое сериализация?,Ни один из вариантов,0
Java testing from CSV,free,Что является значением по умолчанию для переменной типа long?,0L,10
